German,English
haben,be
sein,become
werden,become
können,can
müssen,must
wollen,want
sagen,say
machen,make
geben,give
kommen,come
sehen,see
gehen,go
stehen,stand
finden,find
bleiben,remain
liegen,lay
denken,think
nehmen,take
tun,do
fragen,questions
wissen,knowledge
helfen,help
sprechen,speak
essen,eat
trinken,drink
schlafen,sleep
fahren,drive
lesen,read
schreiben,write
spielen,play
arbeiten,work
wohnen,reside
reisen,travel
kaufen,buy
verkaufen,sell
zahlen,pay
öffnen,open
schließen,close
bringen,bring
holen,fetch
zeigen,show
erzählen,tell
erklären,explain
verstehen,understand
gehören,belong
glauben,believe
hoffen,hope
warten,wait
beginnen,start
beenden,finish
entscheiden,decide
vergessen,forget
erinnern,remember
feiern,celebrate
tanzen,dance
singen,sing
lachen,laugh
weinen,cry
lieben,love
hassen,hate
Mann,Man
Frau,Woman
Kind,child
Eltern,Parents
Freund,Friend
Arbeit,Work
Haus,House
Auto,car
Straße,Street
Stadt,City
Land,country
Wasser,Water
Feuer,Fire
Luft,Air
Sonne,Sun
Mond,moon
Tag,day
Nacht,Night
Woche,Week
Monat,Month
Jahr,Year
Zeit,Time
Geld,Money
Tisch,Table
Stuhl,Chair
Tur,door
Fenster,Window
Essen,Eat
Getränk,beverage
Kaffee,Coffee
Brot,Bread
Fleisch,Meat
Obst,Fruit
Gemüse,Vegetables
Schule,School
Universität,university
Lehrer,Teacher
Arzt,Physician
Krankenhaus,hospital
Polizei,police
Bahnhof,Railroad station
Flughafen,Airport
Reise,Trip
Urlaub,Vacation
Glück,Luck
Angst,Fear
